,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mois,Auneau-Bleury-Saint-Symphorien 28700,Chartres 28000,Châteaudun 28200,Cloyes-les-Trois-Rivières 28220,Dreux 28100,Épernon 28230,Lèves 28300,Lucé 28110,Luisant 28600,Mainvilliers 28300,Nogent-le-Rotrou 28400,Vernouillet 28500,Communes de moins de 5 000 habitants ou données indisponibles,Total
Juillet 2016,440,4350,1440,200,4800,500,370,2180,480,1360,1080,1670,20570,39440
Août 2016,460,4410,1460,200,4870,510,380,2250,490,1380,1080,1690,21010,40200
Septembre 2016,470,4520,1500,210,4920,510,380,2260,490,1410,1110,1740,21310,40830
Octobre 2016,480,4530,1500,220,4880,510,380,2260,480,1410,1110,1760,21330,40860
Novembre 2016,460,4600,1550,220,4930,520,380,2270,490,1430,1110,1760,21370,41080
Décembre 2016,520,4570,1550,220,4910,510,390,2260,500,1420,1120,1760,21130,40870
Janvier 2017,540,4590,1570,230,4940,510,390,2280,500,1430,1110,1760,21230,41050
Février 2017,520,4550,1530,230,4910,510,390,2280,500,1430,1140,1730,21180,40900
Mars 2017,520,4530,1540,250,4890,510,390,2270,500,1420,1130,1730,20940,40610
Avril 2017,510,4510,1530,250,4890,480,400,2270,500,1410,1120,1720,20730,40320
Mai 2017,490,4440,1540,260,4810,480,400,2240,530,1390,1120,1710,20600,40000
Juin 2017,490,4460,1500,260,4800,490,400,2240,510,1380,1080,1710,20400,39710
Juillet 2017,490,4420,1490,280,4750,490,400,2190,500,1370,1110,1710,20310,39490
Août 2017,490,4450,1520,300,4800,490,410,2260,510,1370,1110,1700,20720,40120
Septembre 2017,510,4510,1500,320,4830,490,390,2240,520,1380,1120,1710,20820,40340
Octobre 2017,500,4560,1560,330,4830,510,380,2240,520,1390,1120,1750,20900,40600
Novembre 2017,510,4560,1580,330,4810,520,380,2290,520,1390,1100,1750,20920,40650
Décembre 2017,510,4560,1560,340,4760,520,380,2280,510,1370,1110,1740,20820,40440
Janvier 2018,500,4620,1570,360,4820,520,370,2290,510,1390,1110,1760,20940,40770
Février 2018,500,4610,1600,350,4760,520,360,2260,510,1390,1110,1730,20790,40500
Mars 2018,490,4600,1530,350,4710,530,360,2240,510,1380,1110,1730,20560,40100
Avril 2018,490,4560,1530,360,4670,530,360,2210,510,1350,1110,1720,20380,39760
Mai 2018,490,4600,1520,350,4640,530,350,2230,510,1370,1090,1740,20210,39630
Juin 2018,480,4480,1480,340,4580,520,340,2190,510,1340,1070,1680,19880,38890
Juillet 2018,490,4440,1450,350,4540,520,340,2190,510,1350,1060,1690,19920,38840
Août 2018,500,4480,1440,350,4650,530,340,2210,530,1380,1090,1670,20160,39300
Septembre 2018,510,4560,1440,370,4640,540,350,2250,520,1400,1110,1700,20450,39840
Octobre 2018,510,4610,1440,360,4720,560,350,2290,510,1410,1120,1740,20510,40130
Novembre 2018,520,4610,1460,350,4750,550,340,2280,510,1390,1120,1730,20490,40110
